lemma,forms,pos,occurrences,book_count,first_chapter,chapters,ledger_chapters,target_chapters,status
a,a,DET|PROPN,623,100,1,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20,,,unclassified
about,about,ADP,15,13,1,1|2|5|7|15|16|18|19|20,,,unclassified
above,above,ADP,11,11,3,3|7|8|9|12|17|19,,3,target_extra
accept,accept|accepts,NOUN|VERB,4,4,15,15|16|20,16,16,core
accident,accident,NOUN,2,2,18,18,18,18,core
account,account,NOUN,1,1,19,19,,,unclassified
across,across,ADP,9,9,6,6|8|9|12|14|20,,,unclassified
action,action,NOUN,5,1,13,13,,13,target_extra
active,active,ADJ,4,4,2,2|17|20,17,17,core
activity,activity,NOUN,1,1,13,13,,,unclassified
ada,ada,PROPN,4,1,8,8,,,unclassified
adam,adam,PROPN,4,1,4,4,,,unclassified
add,add|adds,VERB,10,8,4,4|10|13|14|16|19|20,,,unclassified
addition,addition,NOUN,1,1,10,10,,,unclassified
address,address,NOUN,7,5,1,1|11|14,1,1|14,core
adopt,adopts,VERB,1,1,17,17,,,unclassified
adventure,adventure,NOUN,2,2,18,18,,18,target_extra
advice,advice,NOUN,2,2,11,11|15,,,unclassified
afraid,afraid,ADJ,5,4,15,15|17|18,15,15|17,core
after,after,ADP,45,39,2,2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20,,6|11,target_extra
afternoon,afternoon,NOUN,8,8,5,5|6|7|9|11|13,6,,core
again,again,ADV,24,23,6,6|7|8|9|10|11|12|13|14|15|16|18|19|20,,,unclassified
against,against,ADP,1,1,17,17,,,unclassified
age,age|ages,NOUN,5,4,1,1|2|11,1,,core
agree,agree,VERB,2,2,13,13|15,,15,target_extra
aid,aid,NOUN,1,1,20,20,,,unclassified
air,air,NOUN,3,3,7,7|9|17,,,unclassified
airport,airport,NOUN,3,3,12,12|19,12,12,core
alarm,alarm|alarms,NOUN,8,4,6,6|18|20,6,6|18,core
alex,alex,PROPN,9,2,5,5|20,,,unclassified
alive,alive,ADJ,1,1,3,3,,,unclassified
all,all,DET,5,5,2,2|9|15,,,unclassified
almost,almost,ADV,4,4,2,2|14|18|20,,,unclassified
alone,alone,ADV,3,3,13,13|15|20,,,unclassified
along,along,ADP,1,1,8,8,,,unclassified
already,already,ADV,6,6,1,1|4|7|16|19|20,,,unclassified
also,also,ADV,17,14,4,4|11|12|13|14|17|19|20,,,unclassified
always,always,ADV,7,6,5,5|6|13|15|17,6,,core
amir,amir,PROPN,15,5,1,1|3|15|16|18,,,unclassified
amount,amount,NOUN,3,2,10,10,10,10,core
an,an,DET,40,31,1,1|2|3|4|5|6|9|10|11|13|14|15|16|17|18|19|20,,,unclassified
ana,ana,PROPN,22,7,5,5|9|11|12|14|17|19,,,unclassified
and,and,CCONJ,506,100,1,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20,,,unclassified
angry,angry,ADJ,3,2,15,15,15,15,core
animal,animal|animals,NOUN,11,5,17,17|20,17,,core
animals,animals,PROPN,1,1,17,17,,,unclassified
ankle,ankle|ankles,NOUN,7,3,11,11|20,11,11,core
anna,anna,PROPN,4,1,7,7,,,unclassified
another,another,DET,29,27,1,1|4|5|6|7|8|10|11|12|13|14|15|16|18|19|20,,7,target_extra
answer,answer|answered|answers,NOUN|VERB,18,16,1,1|3|4|5|6|8|13|14|15|16|18|20,,5|15,target_extra
anymore,anymore,ADV,2,2,1,1|3,,,unclassified
anyone,anyone,PRON,1,1,2,2,,,unclassified
anything,anything,PRON,3,1,4,4,,4,target_extra
anywhere,anywhere,ADV,1,1,11,11,,,unclassified
apartment,apartment,NOUN|PROPN,22,13,1,1|2|3|6|12|13|16|17|18|20,3,1|3,core
apology,apology,NOUN,2,2,15,15,15,15,core
appear,appears,VERB,7,7,1,1|2|9|12|14|17,,,unclassified
apple,apple|apples,NOUN,15,5,4,4|10|11,,,unclassified
appointment,appointment,NOUN,5,4,6,6|11|18,11,6|11,core
area,area,NOUN,3,2,15,15|17,,,unclassified
arm,arm|arms,NOUN,5,4,2,2|11|20,11,,core
around,around,ADP,8,8,2,2|7|11|12|13|16|18|20,,,unclassified
arrival,arrival,NOUN,1,1,12,12,,,unclassified
arrive,arrive|arrived|arrives,NOUN|VERB,28,21,1,1|2|4|5|6|8|12|15|16|18|20,6|12,12,core
art,art,NOUN,3,2,1,1|13,,,unclassified
as,as,ADP,8,8,1,1|2|4|5|7|8|12|14,,,unclassified
ask,ask|asked|asks,NOUN|VERB,69,54,1,1|2|3|4|5|6|7|8|10|11|12|13|14|15|16|17|18|19|20,,,unclassified
asleep,asleep,ADJ,1,1,6,6,,,unclassified
assistant,assistant,NOUN,7,5,7,7|18,,,unclassified
at,at,ADP,229,79,1,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20,,,unclassified
attach,attached,VERB,1,1,18,18,,,unclassified
attachment,attachment,NOUN,5,4,14,14|20,14,14,core
attention,attention,NOUN,1,1,17,17,,,unclassified
august,august,PROPN,1,1,12,12,,,unclassified
aunt,aunt,NOUN|PROPN,5,3,2,2|12,2,2,core
australia,australia,PROPN,1,1,1,1,,,unclassified
autumn,autumn,NOUN,4,3,9,9|20,9,9,core
ava,ava,PROPN,8,2,3,3|6,,,unclassified
available,available,ADJ,1,1,15,15,,,unclassified
away,away,ADV,11,10,6,6|9|11|12|17|18|19,,,unclassified
back,back|backs,ADP|ADV|NOUN,11,11,1,1|3|5|9|10|11|15|18|20,11,,core
backpack,backpack|backpacks,NOUN,5,5,5,5|12|14|18,5,,core
bad,bad|worse,ADJ,5,5,4,4|11|15|18,,11,target_extra
bag,bag|bags,NOUN,33,13,2,2|4|5|7|9|10|11|12|14|18,4,,core
baker,baker,NOUN,2,2,5,5,5,5,core
bakery,bakery,NOUN,2,1,5,5,,5,target_extra
balcony,balcony,NOUN,1,1,17,17,,,unclassified
ball,ball,NOUN,2,2,13,13|16,,13,target_extra
banana,banana|bananas,NOUN,4,3,4,4|6|20,,,unclassified
band,band,NOUN,1,1,15,15,,,unclassified
bandage,bandage,NOUN,4,4,11,11|20,11,11,core
bank,bank,NOUN,7,5,8,8|10|12|14,8,8,core
basic,basic,ADJ,1,1,1,1,,,unclassified
basket,basket,NOUN,2,1,4,4,,4,target_extra
bathroom,bathroom,NOUN,8,5,3,3|6|12|20,3,3,core
battery,battery,NOUN,8,4,8,8|14|20,14,8|14,core
bay,bay,PROPN,3,1,12,12,,,unclassified
be,am|are|be|being|is|was|were,AUX,566,99,1,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20,,,unclassified
beach,beach,NOUN,3,2,12,12|19,,12,target_extra
beard,beard,NOUN|PROPN,3,2,2,2|16,,2,target_extra
beautiful,beautiful,ADJ,2,2,3,3|13,,,unclassified
because,because,SCONJ,22,20,3,3|7|9|10|11|12|15|16|17|18|19|20,,,unclassified
become,became|become|becomes,VERB,13,12,4,4|6|9|10|16|17|18|19|20,19,19,core
bed,bed,NOUN,7,6,3,3|6|12|17,3,,core
bedroom,bedroom,NOUN,4,4,3,3|6,3,3,core
before,before,ADP,34,28,2,2|5|6|8|9|10|11|12|13|14|15|16|17|18|19|20,,6|11,target_extra
begin,began|begin|begins,VERB,16,15,6,6|9|12|15|16|18|19|20,,,unclassified
behind,behind,ADP,6,5,1,1|2|3|9|17,,,unclassified
