chapter,unit,source,occurrences,book_count,own_chapter_books,later_books,first_book,result
1,address,ledger,7,5,3,2,"1:Two People, One City",pass
1,age,ledger,5,4,2,2,1:First Day,pass
1,apartment,target_extra,22,13,1,12,1:Welcome to Maple Street,pass
1,call,target_extra,33,23,2,21,1:First Day,pass
1,city,ledger,18,13,3,10,1:First Day,pass
1,class,target_extra,14,8,1,7,1:The Wrong Classroom,pass
1,country,ledger,5,5,2,3,"1:Two People, One City",pass
1,course,target_extra,6,5,1,4,1:The Wrong Classroom,pass
1,downstairs,target_extra,4,3,1,2,1:The Wrong Classroom,pass
1,eighteen,target_extra,5,4,1,3,1:First Day,pass
1,email,ledger,11,7,2,5,1:A Voice from Online,pass
1,first,target_extra,48,33,4,29,1:First Day,pass
1,first name,ledger,4,4,3,1,1:First Day,pass
1,floor,target_extra,17,7,1,6,1:The Wrong Classroom,pass
1,form,target_extra,3,2,1,1,1:Welcome to Maple Street,pass
1,friend,ledger,57,35,2,33,1:First Day,pass
1,from,ledger,32,24,2,22,1:First Day,pass
1,information,target_extra,2,2,1,1,1:Welcome to Maple Street,pass
1,language,ledger,4,4,3,1,1:First Day,pass
1,last,target_extra,23,20,3,17,1:First Day,pass
1,last name,ledger,4,4,3,1,1:First Day,pass
1,live,ledger,5,4,2,2,1:First Day,pass
1,name,ledger,33,21,3,18,1:First Day,pass
1,near,target_extra,31,27,2,25,1:First Day,pass
1,neighbour,target_extra,26,13,2,11,"1:Two People, One City",pass
1,new,ledger,49,30,4,26,1:First Day,pass
1,number,target_extra,38,25,4,21,"1:Two People, One City",pass
1,phone,ledger,33,19,3,16,"1:Two People, One City",pass
1,repeat,target_extra,3,3,1,2,1:A Voice from Online,pass
1,right,target_extra,14,11,2,9,1:The Wrong Classroom,pass
1,room,ledger,39,23,2,21,1:First Day,pass
1,speak,target_extra,9,7,3,4,1:First Day,pass
1,spell,target_extra,1,1,1,0,1:A Voice from Online,single
1,street,target_extra,21,13,2,11,"1:Two People, One City",pass
1,student,ledger,23,13,4,9,1:First Day,pass
1,teacher,ledger,17,9,2,7,1:First Day,pass
1,understand,target_extra,6,6,1,5,1:A Voice from Online,pass
1,upstairs,target_extra,5,4,1,3,1:The Wrong Classroom,pass
1,welcome,target_extra,10,6,2,4,1:The Wrong Classroom,pass
1,wrong,target_extra,12,10,1,9,1:The Wrong Classroom,pass
