lemma,forms,pos,occurrences,book_count,first_chapter,chapters,ledger_chapters,target_chapters,status
e,e,NOUN,1,1,1,1,,,unclassified
each,each,DET,27,21,2,2|4|5|7|10|12|13|14|15|16|18|19,,10|19,target_extra
ear,ear,NOUN,2,2,11,11,11,,core
early,early,ADJ|ADV,8,7,2,2|5|6|17|19,6,6,core
easy,easier,ADJ,1,1,4,4,,,unclassified
eat,ate|eat|eating|eats,VERB,21,15,2,2|4|6|9|10|11|16|20,,,unclassified
egg,egg|eggs,NOUN,9,5,4,4|6|10|18,4,4,core
eight,eight,NUM,24,18,2,2|5|6|10|12|13|14|16|18|19|20,,,unclassified
eighteen,eighteen,NUM,5,4,1,1|8|10|12,,1,target_extra
eighty,eighty,NUM,2,2,7,7|12,,,unclassified
either,either,CCONJ,1,1,13,13,,,unclassified
electricity,electricity,NOUN,2,1,10,10,,,unclassified
eleven,eleven,NUM,8,7,5,5|6|10|13|16,,,unclassified
ella,ella,PROPN,12,3,3,3|9|13,,,unclassified
else,else,ADV,3,2,4,4|13,,4,target_extra
email,email,NOUN,11,7,1,1|6|14|20,1|14,1|14,core
emma,emma,PROPN,6,1,2,2,,,unclassified
empty,empty,ADJ,10,8,3,3|6|14|15|17|20,,14,target_extra
end,end|ends,NOUN|VERB,13,13,1,1|5|6|8|13|14|15|16|20,,8,target_extra
energy,energy,NOUN,1,1,11,11,,11,target_extra
english,english,ADJ|PROPN,15,9,1,1|5|15|19|20,,,unclassified
enjoy,enjoy|enjoys,VERB,4,3,13,13|19,,,unclassified
enough,enough,ADJ,12,11,4,4|8|10|11|14|16,,4|10|11|16,target_extra
enter,enter|entered|enters,VERB,3,3,15,15|17|18,,,unclassified
entrance,entrance,NOUN,5,4,1,1|3|8|14,,3|8,target_extra
equal,equal,ADJ,1,1,10,10,,10,target_extra
equally,equally,ADV,1,1,10,10,,,unclassified
escape,escape|escaped,VERB,3,3,18,18|20,18,,core
especially,especially,ADV,1,1,4,4,,,unclassified
ethan,ethan,PROPN,4,1,8,8,,,unclassified
eva,eva,PROPN,15,4,2,2|5|11|14,,,unclassified
even,even,ADV,1,1,20,20,,,unclassified
evening,evening|evenings,NOUN,22,18,3,3|5|6|9|11|13|14|15|17|18|19|20,6,,core
every,every,DET,38,30,1,1|2|5|6|9|10|11|12|13|14|16|17|18|19|20,,,unclassified
everyone,everyone,PRON,17,16,2,2|4|5|12|13|15|16|18|20,,,unclassified
everything,everything,PRON,4,4,3,3|5|7,,,unclassified
exactly,exactly,ADV,6,6,5,5|8|10|12|18|19,,,unclassified
exam,exam,NOUN,4,3,5,5|20,5,,core
examine,examines,VERB,2,2,11,11|17,,11,target_extra
except,except,SCONJ,1,1,16,16,,,unclassified
exchange,exchange|exchanged,NOUN|VERB,12,9,7,7|12|13|16|18|19,18,7|13|18,core
excited,excited,ADJ,3,3,15,15|16,,,unclassified
excuse,excuse,VERB,2,2,1,1|8,,,unclassified
exist,exist,VERB,1,1,19,19,,,unclassified
expensive,expensive,ADJ,5,5,4,4|10|12|16,10,4,core
experience,experience,NOUN,1,1,20,20,,,unclassified
explain,explain|explains,VERB,8,8,11,11|13|15|17|20,,15,target_extra
extra,extra,ADJ,4,4,4,4|10|18,,,unclassified
eye,eyes,NOUN,8,7,2,2|11|15|16|17,2|11,2,core
face,face|faces,NOUN,6,5,1,1|2|11|14,11,,core
fair,fair,ADJ,1,1,15,15,,15,target_extra
fall,fall|falling|falls|fell,NOUN|VERB,13,11,7,7|9|14|16|17|18|20,18,9,core
familiar,familiar,ADJ,2,2,16,16|17,,,unclassified
family,families|family,NOUN,31,19,2,2|4|5|6|10|12|16|17|19|20,,2,target_extra
far,far,ADV,3,3,8,8|11|19,,,unclassified
fare,fare,NOUN,3,3,8,8|12,8,8,core
fast,fast,ADV,1,1,6,6,,6,target_extra
father,father,NOUN|PROPN,9,5,2,2|5,2,,core
favourite,favourite,ADJ,8,7,2,2|3|7|13|15|16,13,7,core
feather,feather,NOUN,4,3,17,17|20,17,17,core
feed,feed|feeds,VERB,4,3,17,17|20,17,17,core
feel,feel|feels|felt,VERB,38,22,1,1|3|7|9|11|12|15|16|19|20,,,unclassified
fence,fence,NOUN,1,1,17,17,,,unclassified
few,few,ADJ,1,1,11,11,,,unclassified
fifteen,fifteen,NUM,6,6,1,1|6|7|10|18,,,unclassified
fifth,fifth,ADJ|NOUN,3,3,8,8|12|18,,,unclassified
fifty,fifty,NUM,12,12,2,2|4|6|7|8|10|12|18|19|20,,,unclassified
file,file,NOUN,3,3,14,14|20,,,unclassified
fill,fill|filled|fills,VERB,4,4,11,11|12|17|20,,,unclassified
film,film|films,NOUN,12,3,13,13|14,13,13,core
final,final,ADJ,3,3,13,13|14|20,,,unclassified
finally,finally,ADV,6,6,3,3|6|12|13|18,18,12|18,core
find,find|finds|found,VERB,37,31,1,1|2|3|4|5|7|8|10|12|13|14|15|16|17|18|19|20,,10|18,target_extra
fine,fine,ADJ,2,2,11,11|16,,,unclassified
finger,finger|fingers,NOUN,4,3,11,11|20,11,,core
finish,finish|finished|finishes,VERB,9,8,5,5|6|13|14|15|16|20,6,6,core
firework,fireworks,NOUN,4,3,16,16|20,16,16,core
first,first,ADJ|ADV,48,33,1,1|2|3|5|6|7|8|10|12|13|14|15|16|17|18|19|20,1,1|6,core
fish,fish,NOUN,6,5,4,4|11|17|20,4|17,17,core
fit,fit|fits,ADJ|VERB,8,6,7,7|8|10,7,7,core
five,five,NUM,46,30,1,1|2|4|5|6|7|8|9|10|12|13|14|16|19|20,,,unclassified
fix,fix|fixes,VERB,2,2,6,6|15,,6,target_extra
flat,flat,ADJ|PROPN,2,1,3,3,,,unclassified
flight,flight,NOUN,3,1,12,12,,,unclassified
floor,floor|floors,NOUN,17,7,1,1|3|9|12|18,3,1|3|18,core
flour,flour,NOUN,1,1,18,18,,,unclassified
flower,flowers,NOUN,3,3,9,9|13,9,,core
fly,flies|fly|flying,VERB,4,3,12,12|17|20,,17,target_extra
folder,folder,NOUN,5,3,5,5|20,5,5,core
follow,follow|follows,VERB,4,4,8,8|9|11|20,,,unclassified
food,food,NOUN,17,12,4,4|6|10|11|16|17|20,,,unclassified
foot,feet|foot,NOUN,13,5,7,7|9|11|18,11,7|11,core
football,football,NOUN,2,1,13,13,,,unclassified
for,for,ADP,104,60,1,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20,,,unclassified
forest,forest,NOUN,4,3,9,9|12,9,9,core
forget,forget|forgot,VERB,2,1,4,4,,4,target_extra
forgive,forgive|forgives,VERB,2,2,15,15|16,15,15,core
fork,fork|forks,NOUN|VERB,4,4,3,3|4,3,3,core
form,form,NOUN,3,2,1,1|11,,1,target_extra
forty,forty,NUM,20,12,2,2|6|7|10|12|13|15|16|19,,,unclassified
forward,forward,ADV|VERB,2,2,14,14|20,,14,target_extra
fountain,fountain,NOUN,1,1,9,9,,,unclassified
four,four,NUM,29,20,2,2|4|5|8|9|10|12|13|14|16|18|20,,,unclassified
fourteen,fourteen,NUM,1,1,10,10,,,unclassified
fourth,fourth,ADJ,1,1,1,1,,,unclassified
free,free,ADJ,6,6,6,6|13|15|17|20,13,6,core
freeze,freeze,VERB,1,1,9,9,,9,target_extra
fresh,fresh,ADJ,3,3,9,9|17|20,,9,target_extra
friday,friday,PROPN,11,8,6,6|7|13|14|18|19|20,,,unclassified
fridge,fridge,NOUN,4,4,3,3|4|6,3,3,core
friend,friend|friends,NOUN,57,35,1,1|2|3|4|5|6|7|9|10|11|12|13|14|15|16|17|18|19|20,1,1,core
friendly,friendly,ADJ,7,6,1,1|5|17|20,17,17,core
friendship,friendship,NOUN,1,1,15,15,,,unclassified
from,from,ADP,32,24,1,1|4|5|6|8|9|10|11|12|13|14|15|16|18|19|20,1,1,core
front,front,NOUN,1,1,3,3,,,unclassified
fruit,fruit,NOUN,13,12,4,4|6|10|11|12|16|18|20,4,,core
full,full,ADJ,10,10,2,2|4|8|9|11|14|16,,14,target_extra
fun,fun,NOUN,1,1,13,13,,,unclassified
fund,fund,NOUN,1,1,10,10,,,unclassified
funny,funny,ADJ,4,4,2,2|14,2,2,core
fur,fur,NOUN,3,3,17,17|20,17,17,core
future,future,ADJ|NOUN,4,4,19,19,19,19,core
game,game|games,NOUN,9,6,13,13|14|17|20,13,,core
garden,garden|gardens,NOUN,4,4,9,9|19,,,unclassified
gate,gate,NOUN,1,1,19,19,,,unclassified
get,get|gets|getting|got,VERB,23,14,4,4|6|8|11|12|18|19|20,6|8,6|8,core
gift,gift|gifts,NOUN,10,5,7,7|15|16|20,16,7,core
girl,girl,NOUN,3,2,1,1|2,,,unclassified
give,gave|give|gives,VERB,36,32,1,1|2|3|4|5|6|8|9|10|11|12|13|15|16|17|19|20,,,unclassified
glass,glass|glasses,NOUN,10,7,2,2|3|4|11,2|3,2|3,core
glove,gloves,NOUN,5,4,7,7|9|17,7,7,core
go,go|goes|going|gone|went,VERB,34,25,3,3|6|8|9|10|11|12|14|15|16|17|18|19|20,,,unclassified
goal,goal,NOUN,6,5,10,10|19|20,10|19,10|19,core
good,best|good,ADJ,15,14,1,1|3|4|5|6|7|10|11|13|18|19,,,unclassified
granddaughter,granddaughter,NOUN,3,1,14,14,,,unclassified
grandfather,grandfather,NOUN|PROPN,4,3,2,2|16,2,2,core
