lemma,forms,pos,occurrences,book_count,first_chapter,chapters,ledger_chapters,target_chapters,status
i,i|me,PRON,105,49,1,1|2|3|4|5|7|8|9|10|11|12|13|14|15|16|17|18|19|20,,,unclassified
ice,ice,NOUN,2,2,9,9|20,,9,target_extra
icy,icy,ADJ,1,1,9,9,,,unclassified
idea,idea|ideas,NOUN,6,6,13,13|15|18|19,,13,target_extra
if,if,SCONJ,3,3,7,7|11,,,unclassified
ignore,ignore|ignoring,VERB,2,2,15,15|16,,15,target_extra
imagine,imagine,VERB,1,1,9,9,,,unclassified
immediately,immediately,ADV,2,2,7,7|12,,,unclassified
important,important,ADJ,3,3,11,11|15|19,,,unclassified
improve,improve,VERB,4,4,19,19|20,19,19,core
in,in,ADP|NOUN,182,82,1,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20,12|19,12|19,core
include,include|includes,VERB,3,3,10,10|15|16,,15,target_extra
incorrectly,incorrectly,ADV,1,1,14,14,,,unclassified
information,information,NOUN,2,2,1,1|8,,1,target_extra
ingredient,ingredient,NOUN,2,1,18,18,,18,target_extra
inside,inside,ADJ|ADP|ADV,13,13,5,5|7|8|9|10|16|18|20,,10,target_extra
instead,instead,ADV,8,8,8,8|9|11|14|15|18|20,,,unclassified
instruction,instructions,NOUN,2,1,11,11,,11,target_extra
instrument,instrument,NOUN,4,3,13,13|20,13,,core
internet,internet,NOUN,5,4,14,14|20,14,14,core
interview,interview,NOUN,2,1,20,20,,,unclassified
into,into,ADP,17,14,1,1|2|3|4|5|10|11|14|16|17|20,,,unclassified
introduce,introduces,VERB,3,3,1,1|5,,,unclassified
invitation,invitation,NOUN,6,4,14,14|16|20,16,16,core
invite,invite,VERB,3,3,16,16|20,16,16,core
it,it,PRON,202,83,1,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20,,,unclassified
italy,italy,PROPN,1,1,1,1,,,unclassified
item,item,NOUN,2,2,7,7|10,,,unclassified
its,its,PRON,11,8,2,2|9|10|12|19|20,,,unclassified
itself,itself,PRON,1,1,17,17,,,unclassified
jacket,jacket|jackets,NOUN,16,6,2,2|7|12|20,7,7,core
jamal,jamal,PROPN,3,1,5,5,,,unclassified
jamie,jamie,PROPN,6,1,6,6,,,unclassified
january,january,PROPN,1,1,9,9,,,unclassified
japan,japan,PROPN,1,1,1,1,,,unclassified
japanese,japanese,ADJ|PROPN,2,1,19,19,,,unclassified
jar,jar,NOUN,1,1,19,19,,,unclassified
jean,jeans,NOUN,2,2,7,7,7,,core
job,job|jobs,NOUN,12,8,5,5|6|7|19|20,5,19,core
joel,joel,PROPN,12,3,13,13|15|19,,,unclassified
join,join|joins,VERB,2,1,13,13,,13,target_extra
jon,jon,PROPN,7,2,10,10|14,,,unclassified
journalism,journalism,NOUN,1,1,19,19,,,unclassified
journey,journey,NOUN,10,8,8,8|10|12|14|18|19,12,8,core
judge,judged,VERB,1,1,15,15,,,unclassified
juice,juice,NOUN|PROPN,6,5,4,4|20,4,,core
julia,julia,PROPN,5,1,9,9,,,unclassified
july,july,PROPN,2,2,9,9,,,unclassified
jump,jumps,VERB,1,1,9,9,,,unclassified
june,june,PROPN,1,1,12,12,,,unclassified
just,just,ADV,1,1,4,4,,,unclassified
k,k,PROPN,1,1,1,1,,,unclassified
kai,kai,PROPN,5,1,8,8,,,unclassified
kate,kate,PROPN,4,2,1,1|20,,,unclassified
keep,keep|keeps,VERB,15,15,2,2|3|7|9|10|11|12|13|14|16|17|19|20,,,unclassified
ken,ken,PROPN,7,2,5,5|15,,,unclassified
kettle,kettle,NOUN,4,3,3,3|20,3,3,core
key,key|keys,ADJ|NOUN,20,6,2,2|3|12|18|19,3|12,12|18,core
keyboard,keyboard,NOUN,6,5,13,13|14|20,13|14,,core
kick,kick,VERB,1,1,16,16,,,unclassified
kilo,kilo|kilos,NOUN,6,4,4,4|10|12,4,4|10,core
kilometre,kilometre|kilometres,NOUN,4,2,12,12|18,,,unclassified
kim,kim,PROPN,9,3,6,6|11|12,,,unclassified
kind,kind,ADJ|NOUN,4,4,1,1|2|5,2,2,core
king,king,PROPN,2,2,8,8|16,,,unclassified
kitchen,kitchen,NOUN,14,11,2,2|3|4|5|6|9|16|18|19,3,,core
knife,knife|knives,NOUN,5,5,3,3|4|20,3,3|4,core
knock,knocks,NOUN,1,1,3,3,,,unclassified
know,knew|know|knows,VERB,22,18,2,2|5|6|7|8|14|15|16|17|18|19|20,,,unclassified
knowledge,knowledge,NOUN,1,1,19,19,,,unclassified
kyoto,kyoto,PROPN,1,1,19,19,,,unclassified
l,l,NOUN,1,1,1,1,,,unclassified
label,label|labels,NOUN,5,3,7,7|11|16,,7|16,target_extra
lake,lake,NOUN|PROPN,9,6,8,8|9|12|18|20,9,,core
lamp,lamp|lamps,NOUN,12,4,3,3|10|20,3,3,core
land,lands,NOUN,1,1,11,11,,,unclassified
language,language|languages,NOUN,4,4,1,1|19,1,19,core
laptop,laptop,NOUN,7,5,5,5|14|19|20,14,5,core
large,large|larger|largest,ADJ,28,24,2,2|3|4|5|6|7|8|9|10|11|12|13|16|17|18|19,,,unclassified
last,last,ADJ|ADV,23,20,1,1|2|3|4|8|10|11|12|13|14|16|18|20,1,1|18,core
late,late,ADJ|ADV,13,13,1,1|2|6|8|15|18|20,6,,core
later,later,ADV,9,9,1,1|3|5|11|14|15|16|19,,,unclassified
laugh,laugh|laughed|laughs,NOUN|VERB,13,12,1,1|2|3|4|7|9|12|13|16|18|20,,,unclassified
lead,lead,NOUN,4,3,17,17|20,17,17,core
leader,leader,NOUN,1,1,13,13,,,unclassified
leaf,leaves,NOUN,7,3,3,3|9,,9,target_extra
leah,leah,PROPN,5,1,8,8,,,unclassified
learn,learn|learned|learning|learns,VERB,11,8,13,13|16|17|19|20,19,13|19,core
leather,leather,NOUN,4,3,7,7|20,7,7,core
leave,leave|leaves|leaving|left,NOUN|VERB,39,30,2,2|3|4|5|6|8|9|10|11|12|13|15|16|17|18|19|20,6,3,core
lee,lee,PROPN,11,5,1,1|10|16|17,,,unclassified
left,left,ADJ|NOUN,8,6,3,3|7|8|11|12,,8,target_extra
leg,leg|legs,NOUN,3,3,11,11|18,11,,core
lena,lena,PROPN,11,2,2,2|16,,,unclassified
length,length,NOUN,1,1,7,7,,,unclassified
leo,leo,PROPN,33,12,1,1|4|6|9|11|12|14|17|18|19|20,,,unclassified
less,less,ADJ,2,1,10,10,,10,target_extra
lesson,lesson|lessons,NOUN,4,3,5,5|20,5,5,core
let,let|lets,VERB,2,2,18,18|19,,,unclassified
letter,letter,NOUN,1,1,16,16,,,unclassified
level,levels,NOUN,1,1,10,10,,,unclassified
liam,liam,PROPN,4,1,4,4,,,unclassified
library,library,NOUN|PROPN,11,6,5,5|8|13|15|18,5,5,core
lie,lay|lies,VERB,2,2,17,17|20,,,unclassified
life,life,NOUN,2,2,19,19,,,unclassified
lift,lift,NOUN,8,2,3,3|18,,3|18,target_extra
light,light|lights,ADJ|NOUN|VERB,19,17,2,2|3|5|6|7|8|9|10|12|16|18|20,,3|16,target_extra
like,like|likes|liking,ADP|VERB,36,22,2,2|3|4|5|9|10|13|17|19|20,,,unclassified
lily,lily,ADV|PROPN,9,3,2,2|5|15,,,unclassified
lina,lina,PROPN,13,5,7,7|10|13|17|19,,,unclassified
line,line|lines,NOUN|PROPN,11,6,6,6|8|10|12|15|20,,8,target_extra
list,list,NOUN,8,5,4,4|5|6|10|16,,6,target_extra
listen,listen|listening|listens,VERB,7,6,6,6|9|11|14|15,15,15,core
little,little,ADJ,7,6,1,1|4|7|11|19,,,unclassified
live,live|lives,VERB,5,4,1,1|3|19,1,,core
living,living,NOUN,6,5,3,3|17,3,3,core
loaf,loaf,NOUN,1,1,5,5,,,unclassified
local,local,ADJ,5,5,15,15|17|18|19|20,,,unclassified
lonely,lonely,ADJ,3,3,15,15|16,15,,core
long,long|longer,ADJ|ADV,19,19,1,1|3|6|7|9|12|13|16|17|18|19|20,,,unclassified
look,look|looked|looking|looks,VERB,52,39,1,1|2|3|4|5|6|7|8|9|11|12|14|15|16|17|18|19|20,,,unclassified
loose,loose,ADJ,3,3,7,7|16,7,7,core
lose,lose|loses|lost,VERB,6,6,8,8|10|13|18,13|18,8|10|13|18,core
lot,lot,NOUN,2,2,5,5|10,,,unclassified
loud,loud|louder,ADJ,3,3,9,9|13,,13,target_extra
love,loves,VERB,2,2,13,13|15,,,unclassified
low,low|lowest,ADJ,2,2,3,3|10,,,unclassified
lucky,lucky,ADJ,2,2,18,18,18,18,core
lucy,lucy,PROPN,2,1,5,5,,,unclassified
luggage,luggage,NOUN,4,3,12,12|19,12,12,core
