lemma,forms,pos,occurrences,book_count,first_chapter,chapters,ledger_chapters,target_chapters,status
name,name|named|names,NOUN|VERB,33,21,1,1|2|5|8|11|12|13|14|16|17|18|20,1,1,core
nameless,nameless,NOUN,1,1,16,16,,,unclassified
narrow,narrow,ADJ,1,1,7,7,,,unclassified
nature,nature,NOUN,1,1,9,9,,9,target_extra
near,near,ADP,31,27,1,1|2|3|4|5|6|7|8|9|10|11|14|16|17|18|19|20,,1,target_extra
nearby,nearby,ADJ|ADV,4,4,11,11|12|15,,,unclassified
neck,neck|necks,NOUN,2,2,11,11,11,,core
need,need|needed|needs,NOUN|VERB,33,26,3,3|4|5|6|7|8|10|11|14|16|17|18|19,,,unclassified
neighbour,neighbour|neighbours,NOUN,26,13,1,1|3|9|13|16|17|18|19|20,,1|3|16,target_extra
nephew,nephew,NOUN,1,1,9,9,,,unclassified
nervous,nervous,ADJ,7,6,1,1|15|16|20,15,15,core
never,never,ADV,3,3,6,6|15,6,6,core
new,new,ADJ|PROPN,49,30,1,1|3|5|7|9|10|12|13|15|16|17|18|19|20,1,1|16,core
newspaper,newspaper,NOUN,1,1,19,19,,,unclassified
next,next,ADJ|ADP|ADV,58,43,1,1|2|3|4|5|6|7|8|9|11|12|13|14|15|16|17|18|19|20,19,6|8|15|19,core
nice,nice,ADJ,2,2,1,1,,,unclassified
nick,nick,PROPN,6,2,6,6|20,,,unclassified
night,night|nights,NOUN,14,7,5,5|6|11|12|20,6,5,core
nina,nina,PROPN,12,3,3,3|4|12,,,unclassified
nine,nine,NUM|PROPN,22,17,2,2|4|5|6|10|12|13|14|16|18|19|20,,,unclassified
nineteen,nineteen,NUM,2,2,1,1,,,unclassified
ninety,ninety,NUM,1,1,7,7,,,unclassified
no,no,ADV|DET|INTJ,35,29,2,2|3|4|8|9|11|13|14|15|16|17|18|19|20,,,unclassified
noah,noah,NOUN|PROPN,9,2,2,2|9,,,unclassified
nobody,nobody,PRON,10,9,10,10|12|14|16|18|20,,,unclassified
noon,noon,NOUN,3,3,9,9|11|20,,,unclassified
nora,nora,PROPN,39,8,1,1|5|8|13|15|16|20,,,unclassified
normal,normal,ADJ,1,1,11,11,,,unclassified
north,north,NOUN|PROPN,6,4,5,5|8|14,8,8,core
nose,nose,NOUN,2,2,11,11,11,11,core
not,not,PART,140,77,1,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20,,,unclassified
note,note|notes,NOUN,14,11,4,4|5|6|10|11|13|15|16,10,5,core
notebook,notebook,NOUN,6,4,5,5|13|19,5,5,core
nothing,nothing,PRON,1,1,14,14,,,unclassified
notice,notice|noticed|notices,NOUN|VERB,4,4,5,5|13|16|18,,18,target_extra
now,now,ADV,25,24,1,1|2|3|5|7|9|10|11|12|13|14|15|16|17|19|20,,,unclassified
number,number|numbers,NOUN,38,25,1,1|3|5|7|8|10|11|12|13|14|16|18|20,,1,target_extra
nurse,nurse|nurses,NOUN,8,6,1,1|5|6|11|19,5,5,core
oat,oats,NOUN,1,1,4,4,,,unclassified
oats,oats,NOUN|PROPN,3,1,4,4,,,unclassified
october,october,PROPN,1,1,9,9,,,unclassified
of,of,ADP|ADV,69,46,1,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|19|20,,,unclassified
off,off,ADP|ADV,13,9,6,6|7|8|9|11|12|14|16,8,8,core
offer,offer|offers,VERB,6,6,4,4|10|15|19|20,,,unclassified
office,office,NOUN|PROPN,11,9,5,5|6|7|11|14|20,5,,core
officer,officer,NOUN,1,1,8,8,,,unclassified
offline,offline,ADJ,4,4,14,14|20,14,14,core
often,often,ADV,5,5,2,2|5|6|9,6,6,core
oh,oh,INTJ,2,2,4,4|14,,,unclassified
okay,okay,ADJ,2,2,13,13|15,,,unclassified
old,old|older,ADJ,18,16,1,1|2|3|4|7|10|15|16|18|20,2,,core
olive,olive,PROPN,3,1,20,20,,,unclassified
oliver,oliver,PROPN,8,2,2,2|3,,,unclassified
omar,omar,PROPN,16,6,5,5|7|12|13|19|20,,,unclassified
on,on,ADP,166,77,1,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20,7|8,7|8,core
once,once,ADV,8,8,6,6|7|15|16|17|20,,,unclassified
one,one,NOUN|NUM,112,62,1,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20,,,unclassified
online,online,ADJ|ADV,6,6,1,1|13|14|19|20,14,14,core
only,only,ADJ|ADV,24,23,1,1|2|3|4|5|6|8|9|10|11|13|14|15|16|17|19,,,unclassified
onto,onto,ADP,3,3,9,9|18,,,unclassified
open,open|opened|opens,ADJ|VERB,31,25,2,2|3|4|5|7|9|10|11|12|14|16|17|18|19|20,,5|16|19,target_extra
opposite,opposite,ADJ|ADP,5,3,8,8|12,,8,target_extra
or,or,CCONJ,23,20,3,3|4|8|10|11|12|15|16|17|18|19|20,,,unclassified
orange,orange,ADJ,4,4,9,9|17,,,unclassified
order,order|ordered|orders,NOUN|VERB,6,3,4,4|5|10,,4,target_extra
ortiz,ortiz,PROPN,1,1,1,1,,,unclassified
other,other|others,ADJ|NOUN,18,17,1,1|3|4|7|11|13|14|16|18|20,,,unclassified
out,out,ADP,7,6,4,4|15|16|17|18,,17,target_extra
outside,outside,ADP|ADV,17,16,6,6|7|8|9|11|15|16|17|20,,,unclassified
oven,oven,NOUN,1,1,4,4,,,unclassified
over,over,ADP,2,2,2,2|9,,,unclassified
owen,owen,PROPN,3,1,10,10,,,unclassified
own,own|owning,ADJ|VERB,7,6,2,2|9|12|16|17|19,,19,target_extra
owner,owner,NOUN,5,4,10,10|17|20,17,10|17,core
pack,packs,VERB,2,2,5,5|20,,,unclassified
package,package,NOUN,1,1,16,16,,,unclassified
packet,packet,NOUN,2,2,4,4,,4,target_extra
page,page|pages,NOUN,3,3,5,5|19,,,unclassified
pain,pain,NOUN,8,5,11,11|20,11,11,core
paint,paint|paints,NOUN|VERB,5,3,13,13|20,13,13,core
pair,pair|pairs,NOUN,7,3,7,7|20,7,7,core
pan,pan,ADJ|NOUN,4,4,4,4|18|20,4,4,core
pancake,pancake|pancakes,NOUN,2,1,18,18,,,unclassified
paper,paper,NOUN,15,11,2,2|7|8|11|14|15|16|18,,,unclassified
parent,parents,NOUN,4,3,2,2|17,2,2,core
park,park,NOUN|PROPN,17,12,3,3|4|6|8|9|11|12|13|16|17|19,,,unclassified
part,part|parts,NOUN,3,3,17,17|19,,,unclassified
partner,partner|partners,NOUN,3,2,1,1|19,,,unclassified
party,party,NOUN|PROPN,10,5,7,7|14|16|18,16,16,core
pass,pass|passes,VERB,5,5,4,4|7|8|13,,,unclassified
passenger,passenger|passengers,NOUN,2,2,6,6|8,,6,target_extra
passport,passport,NOUN,4,3,12,12|19,12,,core
past,past,ADP,1,1,10,10,,,unclassified
pasta,pasta,NOUN,6,3,4,4|20,4,,core
path,path,NOUN,7,3,9,9|20,9,9,core
patient,patient,NOUN,2,1,11,11,11,11,core
paul,paul,PROPN,2,1,2,2,,,unclassified
paw,paw,PROPN,1,1,17,17,,,unclassified
pay,paid|pay|paying|pays,VERB,14,12,4,4|7|8|10|12|15|18|19,10,,core
payment,payments,NOUN,1,1,5,5,,,unclassified
pen,pen|pens,NOUN,5,4,5,5|20,5,5,core
pencil,pencil|pencils,NOUN,4,4,5,5|13|14,5,5,core
people,people,NOUN,17,12,2,2|3|4|5|13|16|19,,,unclassified
per,per,ADP,1,1,4,4,,,unclassified
percent,percent,NOUN,3,2,14,14|20,,,unclassified
perfect,perfect,ADJ,2,2,7,7|13,,,unclassified
perfectly,perfectly,ADV,1,1,7,7,,,unclassified
