lemma,forms,pos,occurrences,book_count,first_chapter,chapters,ledger_chapters,target_chapters,status
sad,sad,ADJ,5,4,11,11|15|16,15,15,core
safe,safe,ADJ,7,5,17,17|18|20,18,18,core
safely,safely,ADV,2,2,18,18,,,unclassified
salad,salad,NOUN,4,4,4,4|16,4,4,core
salary,salary,NOUN,1,1,19,19,,,unclassified
sale,sale,NOUN,1,1,10,10,,,unclassified
sam,sam,PROPN,7,2,2,2|11,,,unclassified
same,same,ADJ,19,12,2,2|4|6|7|9|11|12|13|15|16|18,,7,target_extra
sandwich,sandwich|sandwiches,NOUN,9,4,4,4|11|20,,4,target_extra
sara,sara,ADJ|PROPN,31,8,1,1|10|13|15|19|20,,,unclassified
saturday,saturday,PROPN,8,7,6,6|12|13|16|20,,,unclassified
sauce,sauce,NOUN,5,3,4,4|20,4,4,core
save,save|saved|saves,VERB,6,5,10,10|19,10|19,10|19,core
saving,saving|savings,NOUN|PROPN,2,1,10,10,,,unclassified
savings,savings,NOUN,1,1,19,19,,,unclassified
say,said|say|says,VERB,120,75,1,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20,,,unclassified
scarf,scarf,ADJ|NOUN,7,4,7,7|12|18,7,7,core
schedule,schedule,NOUN,5,5,5,5|6|14|17,,5,target_extra
school,school,NOUN|PROPN,12,11,1,1|4|5|9|11|17|19,5,,core
science,science,NOUN,1,1,5,5,,,unclassified
score,score|scores,NOUN|VERB,7,3,13,13|20,13,13,core
screen,screen,NOUN,7,6,12,12|14|15|20,14,14,core
sea,sea,NOUN|PROPN,4,2,12,12|19,,,unclassified
search,search|searched,NOUN|VERB,2,2,18,18,18,18,core
season,season|seasons,NOUN,5,3,9,9|20,9,9,core
seat,seat|seats,NOUN,10,7,12,12|13|15|16|19|20,12,12,core
second,second|seconds,ADJ|NOUN,8,6,3,3|10|13|14|16|17,,,unclassified
security,security,NOUN,1,1,5,5,,,unclassified
see,saw|see|sees,VERB,29,24,2,2|3|7|8|9|10|11|12|13|14|15|18|19,,,unclassified
sell,sells,VERB,2,2,5,5|17,,5,target_extra
seller,seller,NOUN,6,2,4,4|10,,,unclassified
send,send|sending|sends|sent,VERB,26,11,6,6|11|12|14|15|17|20,14,14,core
sentence,sentence,NOUN,2,2,5,5|15,,,unclassified
september,september,PROPN,1,1,16,16,,,unclassified
set,sets,VERB,1,1,6,6,,,unclassified
seven,seven,NUM,16,13,1,1|2|5|6|8|10|12|13|14|16|18|20,,,unclassified
